,cell_type
952,Tcells 1
953,Mono 1
954,Tcells 1
955,TAM 3
956,NK
957,Mono 1
958,TAM 3
959,TAM 5
960,TAM 5
961,Tcells 1
962,Tcells 3
963,TAM 5
964,Mono 2
965,TAM 5
966,TAM 3
967,Tcells 1
968,Tcells 1
969,Tcells 3
970,NK
971,B
972,Tcells 3
973,Proliferating TAM
974,cDC2
975,Tcells 1
976,Mono 1
977,TAM 3
978,TAM 3
979,Proliferating TAM
980,TAM 5
981,TAM 2
982,cDC2
983,Tcells 1
984,TAM 3
985,Tcells 2
986,Mono 1
987,TAM 5
988,Tcells 3
989,Mono 1
990,Tcells 1
991,Mono 1
992,NK
993,TAM 5
994,Mono 2
995,TAM 4
996,TAM 2
997,NK
998,TAM 5
999,Tcells 2
1000,TAM 3
1001,TAM 5
1002,NK
1003,Mono 1
1004,Tcells 2
1005,Mono 1
1006,Tcells 2
1007,Tcells 2
1008,Mono 1
1009,Mono 1
1010,Proliferating T cells
1011,TAM 2
1012,TAM 5
1013,TAM 5
1014,NK
1015,Tcells 1
1016,Mono 1
1017,NK
1018,TAM 2
1019,Tcells 1
1020,Tcells 1
1021,TAM 5
1022,TAM 3
1023,Tcells 2
1024,Tcells 1
1025,TAM 5
1026,TAM 2
1027,Tcells 1
1028,B
1029,Tcells 3
1030,TAM 5
1031,TAM 5
1032,TAM 5
1033,Mono 2
1034,TAM 5
1035,Mono 1
1036,NK
1037,TAM 5
1038,Tcells 1
1039,Tcells 1
1040,TAM 3
1041,TAM 5
1042,Tcells 1
1043,Tcells 1
1044,Mono 2
1045,TAM 5
1046,Mono 1
1047,Mono 1
1048,Tcells 3
1049,Mono 1
1050,Tcells 2
1051,Mono 2
1052,TAM 5
1053,cDC2
1054,B
1055,Treg
1056,Tcells 2
1057,NK
1058,TAM 2
1059,NK
1060,Tcells 2
1061,Mono 1
1062,NK
1063,Tcells 1
1064,TAM 5
1065,Proliferating TAM
1066,NK
1067,Proliferating TAM
1068,cDC2
1069,Tcells 1
1070,Mono 1
1071,Tcells 1
1072,TAM 5
1073,Tcells 1
1074,B
1075,Proliferating TAM
1076,TAM 3
1077,cDC2
1078,NK
1079,TAM 5
1080,TAM 5
1081,TAM 2
1082,Tcells 2
1083,Tcells 1
1084,TAM 5
1085,Mono 1
1086,Mono 1
1087,TAM 5
1088,TAM 3
1089,Tcells 3
1090,TAM 2
1091,TAM 5
1092,Tcells 1
1093,Tcells 2
1094,Mono 1
1095,TAM 4
1096,Tcells 1
1097,TAM 1
1098,Mono 1
1099,Mono 1
1100,Tcells 2
1101,Proliferating TAM
1102,Treg
1103,TAM 3
1104,Mono 2
1105,Proliferating TAM
1106,Tcells 3
1107,NK
1108,Tcells 2
1109,TAM 5
1110,Proliferating TAM
1111,Tcells 1
1112,TAM 3
1113,Proliferating TAM
1114,TAM 3
1115,Mono 1
1116,pDC
1117,NK
1118,TAM 3
1119,Mono 1
1120,Tcells 3
1121,Tcells 3
1122,TAM 5
1123,Tcells 1
1124,TAM 3
1125,Proliferating TAM
1126,Proliferating TAM
1127,Proliferating TAM
1128,Tcells 1
1129,Tcells 1
1130,Tcells 1
1131,pDC
1132,Mono 2
1133,Tcells 1
1134,TAM 3
1135,TAM 1
1136,TAM 5
1137,Tcells 1
1138,NK
1139,Tcells 2
1140,TAM 2
1141,Mono 1
1142,Mono 1
1143,Proliferating TAM
1144,TAM 2
1145,B
1146,Treg
1147,Tcells 1
1148,Treg
1149,Proliferating T cells
1150,B
1151,TAM 3
1152,Tcells 1
1153,NK
1154,Tcells 2
1155,TAM 5
1156,TAM 5
1157,TAM 3
1158,Tcells 3
1159,Tcells 3
1160,Mono 2
1161,Tcells 3
1162,Mono 2
1163,Tcells 3
1164,Tcells 3
1165,TAM 5
1166,Proliferating TAM
1167,Tcells 1
1168,Proliferating T cells
1169,Tcells 3
1170,TAM 5
1171,Tcells 2
1172,Mono 1
1173,Tcells 2
1174,TAM 5
1175,Proliferating TAM
1176,Proliferating TAM
1177,Tcells 3
1178,Tcells 3
1179,Mono 1
1180,NK
1181,TAM 2
1182,Tcells 1
1183,Tcells 1
1184,TAM 3
1185,Tcells 1
1186,TAM 3
1187,TAM 5
1188,Proliferating TAM
1189,Mono 2
1190,Mono 1
1191,Tcells 3
1192,Proliferating TAM
1193,Proliferating TAM
1194,TAM 3
1195,Mono 2
1196,NK
1197,Tcells 2
1198,TAM 3
1199,Tcells 2
1200,Tcells 1
1201,Tcells 1
1202,Tcells 3
1203,Mono 1
1204,TAM 5
1205,Treg
1206,TAM 5
1207,Proliferating TAM
1208,Proliferating TAM
1209,Mono 1
1210,Tcells 3
1211,Tcells 2
1212,Mono 1
1213,TAM 5
1214,NK
1215,TAM 5
1216,TAM 5
1217,Mono 1
1218,Proliferating TAM
1219,NK
1220,TAM 5
1221,Proliferating TAM
1222,TAM 1
1223,TAM 2
1224,TAM 3
1225,NK
1226,TAM 5
1227,Mono 1
1228,Tcells 3
1229,TAM 2
1230,TAM 2
1231,TAM 1
1232,TAM 5
1233,TAM 5
1234,NK
1235,Tcells 1
1236,TAM 5
1237,TAM 4
1238,NK
1239,TAM 5
1240,Treg
1241,TAM 3
1242,Tcells 2
1243,TAM 3
1244,Proliferating TAM
1245,Tcells 3
1246,Tcells 2
1247,Tcells 1
1248,Mono 1
1249,Mono 1
1250,TAM 5
1251,Tcells 2
1252,Mono 1
1253,TAM 5
1254,NK
1255,Tcells 1
1256,Tcells 2
1257,Proliferating TAM
1258,Tcells 1
1259,NK
1260,TAM 1
